time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.086892,media.adcanvas.com,tcp,downlink,1520
0.089766,media.adcanvas.com,tcp,downlink,1520
0.092640,media.adcanvas.com,tcp,downlink,1520
0.095514,media.adcanvas.com,tcp,downlink,1520
0.098388,media.adcanvas.com,tcp,downlink,1520
0.101263,media.adcanvas.com,tcp,downlink,1520
0.104137,media.adcanvas.com,tcp,downlink,1520
0.107011,media.adcanvas.com,tcp,downlink,1520
0.109885,media.adcanvas.com,tcp,downlink,1520
0.112759,media.adcanvas.com,tcp,downlink,1520
0.115633,media.adcanvas.com,tcp,downlink,1520
0.118507,media.adcanvas.com,tcp,downlink,1520
0.121381,media.adcanvas.com,tcp,downlink,1520
0.124256,media.adcanvas.com,tcp,downlink,1520
0.127130,media.adcanvas.com,tcp,downlink,1520
0.130004,media.adcanvas.com,tcp,downlink,1520
0.132878,media.adcanvas.com,tcp,downlink,1520
0.135752,media.adcanvas.com,tcp,downlink,1520
0.138626,media.adcanvas.com,tcp,downlink,1520
0.141500,media.adcanvas.com,tcp,downlink,1520
0.144374,media.adcanvas.com,tcp,downlink,1520
0.147249,media.adcanvas.com,tcp,downlink,1520
0.150123,media.adcanvas.com,tcp,downlink,1520
0.152997,media.adcanvas.com,tcp,downlink,1520
0.155871,media.adcanvas.com,tcp,downlink,1520
0.158745,media.adcanvas.com,tcp,downlink,1520
0.161619,media.adcanvas.com,tcp,downlink,1520
0.164493,media.adcanvas.com,tcp,downlink,1520
0.167367,media.adcanvas.com,tcp,downlink,1520
0.170242,media.adcanvas.com,tcp,downlink,1520
0.173116,media.adcanvas.com,tcp,downlink,1520
0.175990,media.adcanvas.com,tcp,downlink,1520
0.178864,media.adcanvas.com,tcp,downlink,1520
0.181738,media.adcanvas.com,tcp,downlink,1520
0.184612,media.adcanvas.com,tcp,downlink,1520
0.187486,media.adcanvas.com,tcp,downlink,1520
0.190360,media.adcanvas.com,tcp,downlink,1520
0.193235,media.adcanvas.com,tcp,downlink,1520
0.196109,media.adcanvas.com,tcp,downlink,1520
0.198983,media.adcanvas.com,tcp,downlink,1520
0.201857,media.adcanvas.com,tcp,downlink,1251
0.210780,media.adcanvas.com,tcp,uplink,131
0.217840,media.adcanvas.com,tcp,uplink,132
0.218052,media.adcanvas.com,tcp,uplink,142
0.219741,media.adcanvas.com,tcp,uplink,112
0.220158,media.adcanvas.com,tcp,uplink,127
0.252946,media.adcanvas.com,tcp,downlink,1520
0.253840,media.adcanvas.com,tcp,downlink,1520
0.254734,media.adcanvas.com,tcp,downlink,1520
0.255628,media.adcanvas.com,tcp,downlink,1520
0.256522,media.adcanvas.com,tcp,downlink,1520
0.257415,media.adcanvas.com,tcp,downlink,1520
0.258309,media.adcanvas.com,tcp,downlink,1520
0.259203,media.adcanvas.com,tcp,downlink,1520
0.260097,media.adcanvas.com,tcp,downlink,1520
0.260991,media.adcanvas.com,tcp,downlink,1520
0.261885,media.adcanvas.com,tcp,downlink,1520
0.262779,media.adcanvas.com,tcp,downlink,1520
0.263673,media.adcanvas.com,tcp,downlink,1520
0.264567,media.adcanvas.com,tcp,downlink,1520
0.265461,media.adcanvas.com,tcp,downlink,1520
0.266354,media.adcanvas.com,tcp,downlink,1520
