time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.068776,media.adcanvas.com,tcp,downlink,1520
0.070987,media.adcanvas.com,tcp,downlink,1520
0.073199,media.adcanvas.com,tcp,downlink,1520
0.075410,media.adcanvas.com,tcp,downlink,1520
0.077621,media.adcanvas.com,tcp,downlink,1520
0.079833,media.adcanvas.com,tcp,downlink,1520
0.082044,media.adcanvas.com,tcp,downlink,1520
0.084255,media.adcanvas.com,tcp,downlink,1520
0.086467,media.adcanvas.com,tcp,downlink,1520
0.088678,media.adcanvas.com,tcp,downlink,1520
0.090889,media.adcanvas.com,tcp,downlink,1520
0.093101,media.adcanvas.com,tcp,downlink,1520
0.095312,media.adcanvas.com,tcp,downlink,1520
0.097523,media.adcanvas.com,tcp,downlink,1520
0.099735,media.adcanvas.com,tcp,downlink,1520
0.101946,media.adcanvas.com,tcp,downlink,1520
0.104157,media.adcanvas.com,tcp,downlink,1520
0.106369,media.adcanvas.com,tcp,downlink,1520
0.108580,media.adcanvas.com,tcp,downlink,1520
0.110791,media.adcanvas.com,tcp,downlink,1520
0.113003,media.adcanvas.com,tcp,downlink,1520
0.115214,media.adcanvas.com,tcp,downlink,1520
0.117426,media.adcanvas.com,tcp,downlink,1520
0.119637,media.adcanvas.com,tcp,downlink,1520
0.121848,media.adcanvas.com,tcp,downlink,1520
0.124060,media.adcanvas.com,tcp,downlink,1520
0.126271,media.adcanvas.com,tcp,downlink,1520
0.128482,media.adcanvas.com,tcp,downlink,1520
0.130694,media.adcanvas.com,tcp,downlink,1520
0.132905,media.adcanvas.com,tcp,downlink,1520
0.135116,media.adcanvas.com,tcp,downlink,1520
0.137328,media.adcanvas.com,tcp,downlink,1520
0.139539,media.adcanvas.com,tcp,downlink,1520
0.141750,media.adcanvas.com,tcp,downlink,1520
0.143962,media.adcanvas.com,tcp,downlink,1520
0.146173,media.adcanvas.com,tcp,downlink,1520
0.148384,media.adcanvas.com,tcp,downlink,1520
0.150596,media.adcanvas.com,tcp,downlink,1520
0.152807,media.adcanvas.com,tcp,downlink,1520
0.155018,media.adcanvas.com,tcp,downlink,1520
0.157230,media.adcanvas.com,tcp,downlink,1014
0.164955,media.adcanvas.com,tcp,uplink,131
0.171943,media.adcanvas.com,tcp,uplink,132
0.172228,media.adcanvas.com,tcp,uplink,142
0.173201,media.adcanvas.com,tcp,uplink,112
0.174238,media.adcanvas.com,tcp,uplink,127
0.208786,media.adcanvas.com,tcp,downlink,1520
0.213478,media.adcanvas.com,tcp,downlink,1520
0.218169,media.adcanvas.com,tcp,downlink,1520
0.222861,media.adcanvas.com,tcp,downlink,1520
0.227553,media.adcanvas.com,tcp,downlink,1520
0.230902,media.adcanvas.com,tcp,downlink,1520
0.232244,media.adcanvas.com,tcp,downlink,1520
0.232849,media.adcanvas.com,tcp,downlink,1520
0.234796,media.adcanvas.com,tcp,downlink,1520
0.236743,media.adcanvas.com,tcp,downlink,1520
0.236936,media.adcanvas.com,tcp,downlink,1520
