time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.077875,media.adcanvas.com,tcp,downlink,1520
0.080246,media.adcanvas.com,tcp,downlink,1520
0.082616,media.adcanvas.com,tcp,downlink,1520
0.084987,media.adcanvas.com,tcp,downlink,1520
0.087358,media.adcanvas.com,tcp,downlink,1520
0.089729,media.adcanvas.com,tcp,downlink,1520
0.092099,media.adcanvas.com,tcp,downlink,1520
0.094470,media.adcanvas.com,tcp,downlink,1520
0.096841,media.adcanvas.com,tcp,downlink,1520
0.099212,media.adcanvas.com,tcp,downlink,1520
0.101582,media.adcanvas.com,tcp,downlink,1520
0.103953,media.adcanvas.com,tcp,downlink,1520
0.106324,media.adcanvas.com,tcp,downlink,1520
0.108694,media.adcanvas.com,tcp,downlink,1520
0.111065,media.adcanvas.com,tcp,downlink,1520
0.113436,media.adcanvas.com,tcp,downlink,1520
0.115807,media.adcanvas.com,tcp,downlink,1520
0.118177,media.adcanvas.com,tcp,downlink,1520
0.120548,media.adcanvas.com,tcp,downlink,1520
0.122919,media.adcanvas.com,tcp,downlink,1520
0.125290,media.adcanvas.com,tcp,downlink,1520
0.127660,media.adcanvas.com,tcp,downlink,1520
0.130031,media.adcanvas.com,tcp,downlink,1520
0.132402,media.adcanvas.com,tcp,downlink,1520
0.134772,media.adcanvas.com,tcp,downlink,1520
0.137143,media.adcanvas.com,tcp,downlink,1520
0.139514,media.adcanvas.com,tcp,downlink,1520
0.141885,media.adcanvas.com,tcp,downlink,1520
0.144255,media.adcanvas.com,tcp,downlink,1520
0.146626,media.adcanvas.com,tcp,downlink,1520
0.148997,media.adcanvas.com,tcp,downlink,1520
0.151368,media.adcanvas.com,tcp,downlink,1520
0.153738,media.adcanvas.com,tcp,downlink,1520
0.156109,media.adcanvas.com,tcp,downlink,1520
0.158480,media.adcanvas.com,tcp,downlink,1520
0.160850,media.adcanvas.com,tcp,downlink,1520
0.163221,media.adcanvas.com,tcp,downlink,1520
0.165592,media.adcanvas.com,tcp,downlink,1520
0.167963,media.adcanvas.com,tcp,downlink,1520
0.170333,media.adcanvas.com,tcp,downlink,1520
0.172704,media.adcanvas.com,tcp,downlink,1520
0.175075,media.adcanvas.com,tcp,downlink,1520
0.177446,media.adcanvas.com,tcp,downlink,1520
0.179816,media.adcanvas.com,tcp,downlink,67
0.188206,media.adcanvas.com,tcp,uplink,131
0.195156,media.adcanvas.com,tcp,uplink,132
0.195345,media.adcanvas.com,tcp,uplink,142
0.196613,media.adcanvas.com,tcp,uplink,112
0.197277,media.adcanvas.com,tcp,uplink,127
0.217279,media.adcanvas.com,tcp,downlink,1520
0.227013,media.adcanvas.com,tcp,downlink,1520
0.227918,media.adcanvas.com,tcp,downlink,1520
0.228824,media.adcanvas.com,tcp,downlink,1520
0.229124,media.adcanvas.com,tcp,downlink,1520
0.229729,media.adcanvas.com,tcp,downlink,1520
0.230635,media.adcanvas.com,tcp,downlink,1520
0.231540,media.adcanvas.com,tcp,downlink,1520
0.232446,media.adcanvas.com,tcp,downlink,1520
