time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.147828,media.adcanvas.com,tcp,downlink,1520
0.152931,media.adcanvas.com,tcp,downlink,1520
0.158035,media.adcanvas.com,tcp,downlink,1520
0.163138,media.adcanvas.com,tcp,downlink,1520
0.168242,media.adcanvas.com,tcp,downlink,1520
0.173345,media.adcanvas.com,tcp,downlink,1520
0.178449,media.adcanvas.com,tcp,downlink,1520
0.183552,media.adcanvas.com,tcp,downlink,1520
0.188656,media.adcanvas.com,tcp,downlink,1520
0.193759,media.adcanvas.com,tcp,downlink,1520
0.198862,media.adcanvas.com,tcp,downlink,1520
0.203966,media.adcanvas.com,tcp,downlink,1520
0.209069,media.adcanvas.com,tcp,downlink,1520
0.214173,media.adcanvas.com,tcp,downlink,1520
0.219276,media.adcanvas.com,tcp,downlink,1520
0.224380,media.adcanvas.com,tcp,downlink,1520
0.229483,media.adcanvas.com,tcp,downlink,1520
0.234586,media.adcanvas.com,tcp,downlink,1520
0.239690,media.adcanvas.com,tcp,downlink,1520
0.244793,media.adcanvas.com,tcp,downlink,1520
0.249897,media.adcanvas.com,tcp,downlink,1520
0.255000,media.adcanvas.com,tcp,downlink,1520
0.260104,media.adcanvas.com,tcp,downlink,1520
0.265207,media.adcanvas.com,tcp,downlink,1520
0.270311,media.adcanvas.com,tcp,downlink,1520
0.275414,media.adcanvas.com,tcp,downlink,1520
0.280517,media.adcanvas.com,tcp,downlink,1520
0.285621,media.adcanvas.com,tcp,downlink,1520
0.290724,media.adcanvas.com,tcp,downlink,1520
0.295828,media.adcanvas.com,tcp,downlink,1520
0.300931,media.adcanvas.com,tcp,downlink,1520
0.306035,media.adcanvas.com,tcp,downlink,1520
0.311138,media.adcanvas.com,tcp,downlink,1520
0.316241,media.adcanvas.com,tcp,downlink,1520
0.321345,media.adcanvas.com,tcp,downlink,1520
0.326448,media.adcanvas.com,tcp,downlink,1520
0.331552,media.adcanvas.com,tcp,downlink,1520
0.336655,media.adcanvas.com,tcp,downlink,1520
0.341759,media.adcanvas.com,tcp,downlink,1520
0.346862,media.adcanvas.com,tcp,downlink,1520
0.351966,media.adcanvas.com,tcp,downlink,1284
0.364056,media.adcanvas.com,tcp,uplink,131
0.371674,media.adcanvas.com,tcp,uplink,132
0.371887,media.adcanvas.com,tcp,uplink,142
0.373191,media.adcanvas.com,tcp,uplink,112
0.374163,media.adcanvas.com,tcp,uplink,127
0.391975,media.adcanvas.com,tcp,downlink,1520
0.403349,media.adcanvas.com,tcp,downlink,1520
0.405262,media.adcanvas.com,tcp,downlink,1520
0.406288,media.adcanvas.com,tcp,downlink,1520
0.407315,media.adcanvas.com,tcp,downlink,1520
0.408341,media.adcanvas.com,tcp,downlink,1520
0.409367,media.adcanvas.com,tcp,downlink,1520
0.410195,media.adcanvas.com,tcp,downlink,1520
0.410394,media.adcanvas.com,tcp,downlink,1520
0.411420,media.adcanvas.com,tcp,downlink,1520
0.412446,media.adcanvas.com,tcp,downlink,1520
0.413473,media.adcanvas.com,tcp,downlink,1520
0.414499,media.adcanvas.com,tcp,downlink,1520
0.414724,media.adcanvas.com,tcp,downlink,1271
0.415088,media.adcanvas.com,tcp,downlink,1520
0.415525,media.adcanvas.com,tcp,downlink,1520
0.416552,media.adcanvas.com,tcp,downlink,1520
0.417578,media.adcanvas.com,tcp,downlink,1520
0.418604,media.adcanvas.com,tcp,downlink,1520
0.419631,media.adcanvas.com,tcp,downlink,1520
0.419981,media.adcanvas.com,tcp,downlink,1520
0.420657,media.adcanvas.com,tcp,downlink,1520
0.421683,media.adcanvas.com,tcp,downlink,1520
0.422710,media.adcanvas.com,tcp,downlink,1520
0.423736,media.adcanvas.com,tcp,downlink,1520
0.424762,media.adcanvas.com,tcp,downlink,1520
0.424875,media.adcanvas.com,tcp,downlink,1520
0.425789,media.adcanvas.com,tcp,downlink,1520
0.426815,media.adcanvas.com,tcp,downlink,1520
0.427841,media.adcanvas.com,tcp,downlink,1520
0.428867,media.adcanvas.com,tcp,downlink,1520
0.429768,media.adcanvas.com,tcp,downlink,1520
0.429894,media.adcanvas.com,tcp,downlink,1520
0.430798,analytics.adcanvas.com,tcp,uplink,495
0.430920,media.adcanvas.com,tcp,downlink,1520
0.431946,media.adcanvas.com,tcp,downlink,1520
0.432973,media.adcanvas.com,tcp,downlink,1520
0.433999,media.adcanvas.com,tcp,downlink,1520
0.434661,media.adcanvas.com,tcp,downlink,1520
0.435025,media.adcanvas.com,tcp,downlink,1520
0.436052,media.adcanvas.com,tcp,downlink,1520
0.437078,media.adcanvas.com,tcp,downlink,1520
0.438104,media.adcanvas.com,tcp,downlink,1520
0.439131,media.adcanvas.com,tcp,downlink,1520
0.439554,media.adcanvas.com,tcp,downlink,1520
0.440157,media.adcanvas.com,tcp,downlink,1520
0.441183,media.adcanvas.com,tcp,downlink,1520
0.441497,media.adcanvas.com,tcp,downlink,1520
0.441983,media.adcanvas.com,tcp,downlink,1520
0.442210,media.adcanvas.com,tcp,downlink,1520
0.442470,media.adcanvas.com,tcp,downlink,1520
0.442956,media.adcanvas.com,tcp,downlink,1520
0.443236,media.adcanvas.com,tcp,downlink,1520
0.443442,media.adcanvas.com,tcp,downlink,1520
0.443929,media.adcanvas.com,tcp,downlink,1520
0.444262,media.adcanvas.com,tcp,downlink,1520
0.444415,media.adcanvas.com,tcp,downlink,1520
0.444448,media.adcanvas.com,tcp,downlink,1520
0.444901,media.adcanvas.com,tcp,downlink,1520
0.445289,media.adcanvas.com,tcp,downlink,177
0.445388,media.adcanvas.com,tcp,downlink,1520
0.445684,analytics.adcanvas.com,tcp,uplink,580
0.445874,media.adcanvas.com,tcp,downlink,1520
0.446360,media.adcanvas.com,tcp,downlink,1520
0.446846,media.adcanvas.com,tcp,downlink,1520
0.447333,media.adcanvas.com,tcp,downlink,1520
0.447819,media.adcanvas.com,tcp,downlink,1520
0.448305,media.adcanvas.com,tcp,downlink,1520
0.448792,media.adcanvas.com,tcp,downlink,1520
0.449278,media.adcanvas.com,tcp,downlink,1520
0.449341,media.adcanvas.com,tcp,downlink,61
0.449764,media.adcanvas.com,tcp,downlink,1520
0.450251,media.adcanvas.com,tcp,downlink,1520
0.450737,media.adcanvas.com,tcp,downlink,1520
0.451223,media.adcanvas.com,tcp,downlink,1520
0.451710,media.adcanvas.com,tcp,downlink,1520
0.452196,media.adcanvas.com,tcp,downlink,1520
0.452682,media.adcanvas.com,tcp,downlink,1520
0.453169,media.adcanvas.com,tcp,downlink,1520
0.453655,media.adcanvas.com,tcp,downlink,1520
0.454141,media.adcanvas.com,tcp,downlink,1520
0.454628,media.adcanvas.com,tcp,downlink,1520
0.455114,media.adcanvas.com,tcp,downlink,1520
0.455600,media.adcanvas.com,tcp,downlink,1520
0.456087,media.adcanvas.com,tcp,downlink,1520
0.456573,media.adcanvas.com,tcp,downlink,1520
0.457059,media.adcanvas.com,tcp,downlink,1520
0.457545,media.adcanvas.com,tcp,downlink,1520
0.458032,media.adcanvas.com,tcp,downlink,1520
0.458518,media.adcanvas.com,tcp,downlink,1520
0.459004,media.adcanvas.com,tcp,downlink,1520
0.459491,media.adcanvas.com,tcp,downlink,1520
0.459977,media.adcanvas.com,tcp,downlink,1520
0.460179,analytics.adcanvas.com,tcp,downlink,305
0.460463,media.adcanvas.com,tcp,downlink,1520
0.460950,media.adcanvas.com,tcp,downlink,1520
0.461436,media.adcanvas.com,tcp,downlink,1520
0.461922,media.adcanvas.com,tcp,downlink,1520
0.462409,media.adcanvas.com,tcp,downlink,1520
0.462895,media.adcanvas.com,tcp,downlink,1520
0.463381,media.adcanvas.com,tcp,downlink,1520
0.463868,media.adcanvas.com,tcp,downlink,1520
0.464354,media.adcanvas.com,tcp,downlink,1520
0.464840,media.adcanvas.com,tcp,downlink,1520
0.465327,media.adcanvas.com,tcp,downlink,1520
0.465813,media.adcanvas.com,tcp,downlink,1520
0.466299,media.adcanvas.com,tcp,downlink,1520
0.466786,media.adcanvas.com,tcp,downlink,1520
0.467272,media.adcanvas.com,tcp,downlink,1520
0.467758,media.adcanvas.com,tcp,downlink,1520
0.468244,media.adcanvas.com,tcp,downlink,1520
0.468326,analytics.adcanvas.com,tcp,downlink,305
0.468731,media.adcanvas.com,tcp,downlink,1520
0.469217,media.adcanvas.com,tcp,downlink,1520
0.469703,media.adcanvas.com,tcp,downlink,1520
0.470190,media.adcanvas.com,tcp,downlink,1520
0.470676,media.adcanvas.com,tcp,downlink,1520
0.471162,media.adcanvas.com,tcp,downlink,1520
0.471649,media.adcanvas.com,tcp,downlink,1520
0.472135,media.adcanvas.com,tcp,downlink,1520
0.472621,media.adcanvas.com,tcp,downlink,1520
0.473108,media.adcanvas.com,tcp,downlink,1520
0.473594,media.adcanvas.com,tcp,downlink,1520
0.474080,media.adcanvas.com,tcp,downlink,1520
0.474567,media.adcanvas.com,tcp,downlink,1520
0.475053,media.adcanvas.com,tcp,downlink,1520
0.475539,media.adcanvas.com,tcp,downlink,1520
0.476026,media.adcanvas.com,tcp,downlink,1520
0.476512,media.adcanvas.com,tcp,downlink,1520
0.476998,media.adcanvas.com,tcp,downlink,1520
0.477484,media.adcanvas.com,tcp,downlink,1520
0.477971,media.adcanvas.com,tcp,downlink,1520
0.478457,media.adcanvas.com,tcp,downlink,1520
0.478943,media.adcanvas.com,tcp,downlink,1520
0.479430,media.adcanvas.com,tcp,downlink,1520
