time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.088025,media.adcanvas.com,tcp,downlink,1520
0.090941,media.adcanvas.com,tcp,downlink,1520
0.093856,media.adcanvas.com,tcp,downlink,1520
0.096772,media.adcanvas.com,tcp,downlink,1520
0.099687,media.adcanvas.com,tcp,downlink,1520
0.102603,media.adcanvas.com,tcp,downlink,1520
0.105518,media.adcanvas.com,tcp,downlink,1520
0.108434,media.adcanvas.com,tcp,downlink,1520
0.111349,media.adcanvas.com,tcp,downlink,1520
0.114265,media.adcanvas.com,tcp,downlink,1520
0.117180,media.adcanvas.com,tcp,downlink,1520
0.120096,media.adcanvas.com,tcp,downlink,1520
0.123011,media.adcanvas.com,tcp,downlink,1520
0.125927,media.adcanvas.com,tcp,downlink,1520
0.128843,media.adcanvas.com,tcp,downlink,1520
0.131758,media.adcanvas.com,tcp,downlink,1520
0.134674,media.adcanvas.com,tcp,downlink,1520
0.137589,media.adcanvas.com,tcp,downlink,1520
0.140505,media.adcanvas.com,tcp,downlink,1520
0.143420,media.adcanvas.com,tcp,downlink,1520
0.146336,media.adcanvas.com,tcp,downlink,1520
0.149251,media.adcanvas.com,tcp,downlink,1520
0.152167,media.adcanvas.com,tcp,downlink,1520
0.155082,media.adcanvas.com,tcp,downlink,1520
0.157998,media.adcanvas.com,tcp,downlink,1520
0.160913,media.adcanvas.com,tcp,downlink,1520
0.163829,media.adcanvas.com,tcp,downlink,1520
0.166744,media.adcanvas.com,tcp,downlink,1520
0.169660,media.adcanvas.com,tcp,downlink,1520
0.172576,media.adcanvas.com,tcp,downlink,1520
0.175491,media.adcanvas.com,tcp,downlink,1520
0.178407,media.adcanvas.com,tcp,downlink,1520
0.181322,media.adcanvas.com,tcp,downlink,1520
0.184238,media.adcanvas.com,tcp,downlink,1520
0.187153,media.adcanvas.com,tcp,downlink,1520
0.190069,media.adcanvas.com,tcp,downlink,1520
0.192984,media.adcanvas.com,tcp,downlink,1520
0.195900,media.adcanvas.com,tcp,downlink,1520
0.198815,media.adcanvas.com,tcp,downlink,1520
0.201731,media.adcanvas.com,tcp,downlink,1520
0.204646,media.adcanvas.com,tcp,downlink,1056
0.212828,media.adcanvas.com,tcp,uplink,131
0.219040,media.adcanvas.com,tcp,uplink,132
0.219213,media.adcanvas.com,tcp,uplink,142
0.220298,media.adcanvas.com,tcp,uplink,112
0.221034,media.adcanvas.com,tcp,uplink,127
0.257833,media.adcanvas.com,tcp,downlink,1520
0.258956,media.adcanvas.com,tcp,downlink,1520
0.259081,media.adcanvas.com,tcp,downlink,1520
0.260328,media.adcanvas.com,tcp,downlink,1520
0.261576,media.adcanvas.com,tcp,downlink,1520
0.262267,media.adcanvas.com,tcp,downlink,1520
0.262824,media.adcanvas.com,tcp,downlink,1520
0.264072,media.adcanvas.com,tcp,downlink,1520
0.265319,media.adcanvas.com,tcp,downlink,1520
0.265577,media.adcanvas.com,tcp,downlink,1520
0.266567,media.adcanvas.com,tcp,downlink,1520
0.267815,media.adcanvas.com,tcp,downlink,1520
0.268888,media.adcanvas.com,tcp,downlink,1520
0.269063,media.adcanvas.com,tcp,downlink,1520
0.270310,media.adcanvas.com,tcp,downlink,1520
0.271558,media.adcanvas.com,tcp,downlink,1520
0.272199,media.adcanvas.com,tcp,downlink,1520
0.272806,media.adcanvas.com,tcp,downlink,1520
0.274054,media.adcanvas.com,tcp,downlink,1520
0.275301,media.adcanvas.com,tcp,downlink,1520
0.275509,media.adcanvas.com,tcp,downlink,1520
0.276549,media.adcanvas.com,tcp,downlink,1520
0.277797,media.adcanvas.com,tcp,downlink,1520
0.278462,media.adcanvas.com,tcp,downlink,1520
