time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.070556,media.adcanvas.com,tcp,downlink,1520
0.072832,media.adcanvas.com,tcp,downlink,1520
0.075109,media.adcanvas.com,tcp,downlink,1520
0.077385,media.adcanvas.com,tcp,downlink,1520
0.079662,media.adcanvas.com,tcp,downlink,1520
0.081938,media.adcanvas.com,tcp,downlink,1520
0.084215,media.adcanvas.com,tcp,downlink,1520
0.086491,media.adcanvas.com,tcp,downlink,1520
0.088768,media.adcanvas.com,tcp,downlink,1520
0.091044,media.adcanvas.com,tcp,downlink,1520
0.093321,media.adcanvas.com,tcp,downlink,1520
0.095597,media.adcanvas.com,tcp,downlink,1520
0.097874,media.adcanvas.com,tcp,downlink,1520
0.100150,media.adcanvas.com,tcp,downlink,1520
0.102426,media.adcanvas.com,tcp,downlink,1520
0.104703,media.adcanvas.com,tcp,downlink,1520
0.106979,media.adcanvas.com,tcp,downlink,1520
0.109256,media.adcanvas.com,tcp,downlink,1520
0.111532,media.adcanvas.com,tcp,downlink,1520
0.113809,media.adcanvas.com,tcp,downlink,1520
0.116085,media.adcanvas.com,tcp,downlink,1520
0.118362,media.adcanvas.com,tcp,downlink,1520
0.120638,media.adcanvas.com,tcp,downlink,1520
0.122915,media.adcanvas.com,tcp,downlink,1520
0.125191,media.adcanvas.com,tcp,downlink,1520
0.127468,media.adcanvas.com,tcp,downlink,1520
0.129744,media.adcanvas.com,tcp,downlink,1520
0.132021,media.adcanvas.com,tcp,downlink,1520
0.134297,media.adcanvas.com,tcp,downlink,1520
0.136573,media.adcanvas.com,tcp,downlink,1520
0.138850,media.adcanvas.com,tcp,downlink,1520
0.141126,media.adcanvas.com,tcp,downlink,1520
0.143403,media.adcanvas.com,tcp,downlink,1520
0.145679,media.adcanvas.com,tcp,downlink,1520
0.147956,media.adcanvas.com,tcp,downlink,1520
0.150232,media.adcanvas.com,tcp,downlink,1520
0.152509,media.adcanvas.com,tcp,downlink,1520
0.154785,media.adcanvas.com,tcp,downlink,1520
0.157062,media.adcanvas.com,tcp,downlink,1520
0.159338,media.adcanvas.com,tcp,downlink,1520
0.161615,media.adcanvas.com,tcp,downlink,1241
0.168783,media.adcanvas.com,tcp,uplink,131
0.174611,media.adcanvas.com,tcp,uplink,132
0.174781,media.adcanvas.com,tcp,uplink,142
0.175547,media.adcanvas.com,tcp,uplink,112
0.176470,media.adcanvas.com,tcp,uplink,127
0.196574,media.adcanvas.com,tcp,downlink,1520
0.207896,media.adcanvas.com,tcp,downlink,1520
