time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.056968,media.adcanvas.com,tcp,downlink,1520
0.058747,media.adcanvas.com,tcp,downlink,1520
0.060527,media.adcanvas.com,tcp,downlink,1520
0.062306,media.adcanvas.com,tcp,downlink,1520
0.064085,media.adcanvas.com,tcp,downlink,1520
0.065865,media.adcanvas.com,tcp,downlink,1520
0.067644,media.adcanvas.com,tcp,downlink,1520
0.069423,media.adcanvas.com,tcp,downlink,1520
0.071203,media.adcanvas.com,tcp,downlink,1520
0.072982,media.adcanvas.com,tcp,downlink,1520
0.074761,media.adcanvas.com,tcp,downlink,1520
0.076541,media.adcanvas.com,tcp,downlink,1520
0.078320,media.adcanvas.com,tcp,downlink,1520
0.080099,media.adcanvas.com,tcp,downlink,1520
0.081879,media.adcanvas.com,tcp,downlink,1520
0.083658,media.adcanvas.com,tcp,downlink,1520
0.085437,media.adcanvas.com,tcp,downlink,1520
0.087217,media.adcanvas.com,tcp,downlink,1520
0.088996,media.adcanvas.com,tcp,downlink,1520
0.090775,media.adcanvas.com,tcp,downlink,1520
0.092555,media.adcanvas.com,tcp,downlink,1520
0.094334,media.adcanvas.com,tcp,downlink,1520
0.096114,media.adcanvas.com,tcp,downlink,1520
0.097893,media.adcanvas.com,tcp,downlink,1520
0.099672,media.adcanvas.com,tcp,downlink,1520
0.101452,media.adcanvas.com,tcp,downlink,1520
0.103231,media.adcanvas.com,tcp,downlink,1520
0.105010,media.adcanvas.com,tcp,downlink,1520
0.106790,media.adcanvas.com,tcp,downlink,1520
0.108569,media.adcanvas.com,tcp,downlink,1520
0.110348,media.adcanvas.com,tcp,downlink,1520
0.112128,media.adcanvas.com,tcp,downlink,1520
0.113907,media.adcanvas.com,tcp,downlink,1520
0.115686,media.adcanvas.com,tcp,downlink,1520
0.117466,media.adcanvas.com,tcp,downlink,1520
0.119245,media.adcanvas.com,tcp,downlink,1520
0.121024,media.adcanvas.com,tcp,downlink,1520
0.122804,media.adcanvas.com,tcp,downlink,1520
0.124583,media.adcanvas.com,tcp,downlink,1520
0.126362,media.adcanvas.com,tcp,downlink,1520
0.128142,media.adcanvas.com,tcp,downlink,1325
0.134438,media.adcanvas.com,tcp,uplink,131
0.139982,media.adcanvas.com,tcp,uplink,132
0.140149,media.adcanvas.com,tcp,uplink,142
0.141742,media.adcanvas.com,tcp,uplink,127
0.142199,media.adcanvas.com,tcp,uplink,112
0.180754,media.adcanvas.com,tcp,downlink,1520
0.199745,media.adcanvas.com,tcp,downlink,1520
0.207920,media.adcanvas.com,tcp,downlink,1520
0.210212,media.adcanvas.com,tcp,downlink,1520
0.212505,media.adcanvas.com,tcp,downlink,1520
0.214797,media.adcanvas.com,tcp,downlink,1520
0.216514,media.adcanvas.com,tcp,downlink,1520
0.217090,media.adcanvas.com,tcp,downlink,1520
0.218737,media.adcanvas.com,tcp,downlink,1285
0.219382,media.adcanvas.com,tcp,downlink,1520
0.221675,media.adcanvas.com,tcp,downlink,1520
0.223967,media.adcanvas.com,tcp,downlink,1520
0.226260,media.adcanvas.com,tcp,downlink,1520
0.228552,media.adcanvas.com,tcp,downlink,1520
0.228971,media.adcanvas.com,tcp,downlink,1520
0.230845,media.adcanvas.com,tcp,downlink,1520
0.233137,media.adcanvas.com,tcp,downlink,1520
0.235430,media.adcanvas.com,tcp,downlink,1520
0.237722,media.adcanvas.com,tcp,downlink,1520
0.240014,media.adcanvas.com,tcp,downlink,1520
0.240799,media.adcanvas.com,tcp,downlink,1520
0.241195,media.adcanvas.com,tcp,downlink,1520
0.241429,media.adcanvas.com,tcp,downlink,1520
0.241590,media.adcanvas.com,tcp,downlink,1520
0.241986,media.adcanvas.com,tcp,downlink,1520
0.242307,media.adcanvas.com,tcp,downlink,1520
0.242382,media.adcanvas.com,tcp,downlink,1520
0.242777,media.adcanvas.com,tcp,downlink,1520
0.243173,media.adcanvas.com,tcp,downlink,1520
0.243372,analytics.adcanvas.com,tcp,uplink,608
0.243568,media.adcanvas.com,tcp,downlink,1520
0.243964,media.adcanvas.com,tcp,downlink,1520
0.244360,media.adcanvas.com,tcp,downlink,1520
0.244599,media.adcanvas.com,tcp,downlink,1520
0.244755,media.adcanvas.com,tcp,downlink,1520
0.245151,media.adcanvas.com,tcp,downlink,1520
0.245547,media.adcanvas.com,tcp,downlink,1520
0.245942,media.adcanvas.com,tcp,downlink,1520
0.246338,media.adcanvas.com,tcp,downlink,1520
0.246734,media.adcanvas.com,tcp,downlink,1520
0.246892,media.adcanvas.com,tcp,downlink,1520
0.247129,media.adcanvas.com,tcp,downlink,1520
0.247525,media.adcanvas.com,tcp,downlink,1520
0.247797,analytics.adcanvas.com,tcp,uplink,694
0.247921,media.adcanvas.com,tcp,downlink,1520
0.248316,media.adcanvas.com,tcp,downlink,1520
0.248712,media.adcanvas.com,tcp,downlink,1520
0.249107,media.adcanvas.com,tcp,downlink,1520
0.249184,media.adcanvas.com,tcp,downlink,1520
0.249503,media.adcanvas.com,tcp,downlink,1520
0.249899,media.adcanvas.com,tcp,downlink,1520
0.250294,media.adcanvas.com,tcp,downlink,1520
0.250690,media.adcanvas.com,tcp,downlink,1520
0.251086,media.adcanvas.com,tcp,downlink,1520
0.251477,media.adcanvas.com,tcp,downlink,1520
0.251481,media.adcanvas.com,tcp,downlink,1520
0.251877,media.adcanvas.com,tcp,downlink,1520
0.252273,media.adcanvas.com,tcp,downlink,1520
0.252668,media.adcanvas.com,tcp,downlink,1520
0.253064,media.adcanvas.com,tcp,downlink,1520
0.253459,media.adcanvas.com,tcp,downlink,1520
0.253769,media.adcanvas.com,tcp,downlink,1520
0.253855,media.adcanvas.com,tcp,downlink,1520
0.253886,media.adcanvas.com,tcp,downlink,1520
0.254251,media.adcanvas.com,tcp,downlink,1520
0.254646,media.adcanvas.com,tcp,downlink,1520
0.255042,media.adcanvas.com,tcp,downlink,1520
0.255438,media.adcanvas.com,tcp,downlink,1520
0.255833,media.adcanvas.com,tcp,downlink,1520
0.256062,media.adcanvas.com,tcp,downlink,1520
0.256229,media.adcanvas.com,tcp,downlink,1520
0.256625,media.adcanvas.com,tcp,downlink,1520
0.257020,media.adcanvas.com,tcp,downlink,1520
0.257416,media.adcanvas.com,tcp,downlink,1520
0.257812,media.adcanvas.com,tcp,downlink,1520
0.258207,media.adcanvas.com,tcp,downlink,1520
0.258354,media.adcanvas.com,tcp,downlink,1520
0.258603,media.adcanvas.com,tcp,downlink,1520
0.258998,media.adcanvas.com,tcp,downlink,1520
0.259394,media.adcanvas.com,tcp,downlink,1520
0.259790,media.adcanvas.com,tcp,downlink,1520
0.260185,media.adcanvas.com,tcp,downlink,1520
0.260581,media.adcanvas.com,tcp,downlink,1520
0.260647,media.adcanvas.com,tcp,downlink,1520
0.260977,media.adcanvas.com,tcp,downlink,1520
0.261372,media.adcanvas.com,tcp,downlink,1520
0.261768,media.adcanvas.com,tcp,downlink,1520
0.262164,media.adcanvas.com,tcp,downlink,1520
0.262559,media.adcanvas.com,tcp,downlink,1520
0.262939,media.adcanvas.com,tcp,downlink,1520
0.262955,media.adcanvas.com,tcp,downlink,1520
0.263350,media.adcanvas.com,tcp,downlink,1520
0.263746,media.adcanvas.com,tcp,downlink,1520
0.264142,media.adcanvas.com,tcp,downlink,1520
0.264537,media.adcanvas.com,tcp,downlink,1520
0.264933,media.adcanvas.com,tcp,downlink,1520
0.265232,media.adcanvas.com,tcp,downlink,1520
0.265329,media.adcanvas.com,tcp,downlink,1520
0.265724,media.adcanvas.com,tcp,downlink,1520
0.266120,media.adcanvas.com,tcp,downlink,1520
0.266344,media.adcanvas.com,tcp,downlink,1520
0.266516,media.adcanvas.com,tcp,downlink,1520
0.266911,media.adcanvas.com,tcp,downlink,1520
0.267307,media.adcanvas.com,tcp,downlink,1520
0.267524,media.adcanvas.com,tcp,downlink,1520
0.267703,media.adcanvas.com,tcp,downlink,1520
0.268098,media.adcanvas.com,tcp,downlink,1520
0.268494,media.adcanvas.com,tcp,downlink,1520
0.268889,media.adcanvas.com,tcp,downlink,1520
0.269285,media.adcanvas.com,tcp,downlink,1520
0.269681,media.adcanvas.com,tcp,downlink,1520
0.269816,media.adcanvas.com,tcp,downlink,1520
0.270076,media.adcanvas.com,tcp,downlink,1520
0.270472,media.adcanvas.com,tcp,downlink,1520
0.270868,media.adcanvas.com,tcp,downlink,1520
0.271263,media.adcanvas.com,tcp,downlink,1520
0.271659,media.adcanvas.com,tcp,downlink,1520
0.272055,media.adcanvas.com,tcp,downlink,1520
0.272109,media.adcanvas.com,tcp,downlink,1520
0.272450,media.adcanvas.com,tcp,downlink,1520
0.272846,media.adcanvas.com,tcp,downlink,1520
0.273241,media.adcanvas.com,tcp,downlink,1520
0.273637,media.adcanvas.com,tcp,downlink,1520
0.274033,media.adcanvas.com,tcp,downlink,1520
0.274401,media.adcanvas.com,tcp,downlink,1520
0.274428,media.adcanvas.com,tcp,downlink,1520
0.274824,media.adcanvas.com,tcp,downlink,1520
0.275220,media.adcanvas.com,tcp,downlink,1520
0.275615,media.adcanvas.com,tcp,downlink,1520
0.276011,media.adcanvas.com,tcp,downlink,1520
0.276407,media.adcanvas.com,tcp,downlink,1520
0.276694,media.adcanvas.com,tcp,downlink,1520
0.276802,media.adcanvas.com,tcp,downlink,1520
0.277198,media.adcanvas.com,tcp,downlink,1520
0.277594,media.adcanvas.com,tcp,downlink,1520
0.277989,media.adcanvas.com,tcp,downlink,1520
0.278385,media.adcanvas.com,tcp,downlink,1520
0.278780,media.adcanvas.com,tcp,downlink,1520
0.278801,media.adcanvas.com,tcp,downlink,1520
0.278986,media.adcanvas.com,tcp,downlink,1520
0.279176,media.adcanvas.com,tcp,downlink,1520
0.279572,media.adcanvas.com,tcp,downlink,1520
0.279967,media.adcanvas.com,tcp,downlink,1520
0.280363,media.adcanvas.com,tcp,downlink,1520
0.280759,media.adcanvas.com,tcp,downlink,1520
0.281154,media.adcanvas.com,tcp,downlink,1520
0.281279,media.adcanvas.com,tcp,downlink,1520
0.281550,media.adcanvas.com,tcp,downlink,1520
0.281946,media.adcanvas.com,tcp,downlink,1520
0.282341,media.adcanvas.com,tcp,downlink,1520
0.282737,media.adcanvas.com,tcp,downlink,1520
0.283132,media.adcanvas.com,tcp,downlink,1520
0.283528,media.adcanvas.com,tcp,downlink,1520
0.283571,media.adcanvas.com,tcp,downlink,1520
0.283924,media.adcanvas.com,tcp,downlink,1520
0.284319,media.adcanvas.com,tcp,downlink,1520
0.284715,media.adcanvas.com,tcp,downlink,1520
0.285111,media.adcanvas.com,tcp,downlink,1520
0.285506,media.adcanvas.com,tcp,downlink,1520
0.285864,media.adcanvas.com,tcp,downlink,1520
