time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.104503,media.adcanvas.com,tcp,downlink,1520
0.108021,media.adcanvas.com,tcp,downlink,1520
0.111540,media.adcanvas.com,tcp,downlink,1520
0.115058,media.adcanvas.com,tcp,downlink,1520
0.118577,media.adcanvas.com,tcp,downlink,1520
0.122095,media.adcanvas.com,tcp,downlink,1520
0.125613,media.adcanvas.com,tcp,downlink,1520
0.129132,media.adcanvas.com,tcp,downlink,1520
0.132650,media.adcanvas.com,tcp,downlink,1520
0.136169,media.adcanvas.com,tcp,downlink,1520
0.139687,media.adcanvas.com,tcp,downlink,1520
0.143206,media.adcanvas.com,tcp,downlink,1520
0.146724,media.adcanvas.com,tcp,downlink,1520
0.150242,media.adcanvas.com,tcp,downlink,1520
0.153761,media.adcanvas.com,tcp,downlink,1520
0.157279,media.adcanvas.com,tcp,downlink,1520
0.160798,media.adcanvas.com,tcp,downlink,1520
0.164316,media.adcanvas.com,tcp,downlink,1520
0.167834,media.adcanvas.com,tcp,downlink,1520
0.171353,media.adcanvas.com,tcp,downlink,1520
0.174871,media.adcanvas.com,tcp,downlink,1520
0.178390,media.adcanvas.com,tcp,downlink,1520
0.181908,media.adcanvas.com,tcp,downlink,1520
0.185427,media.adcanvas.com,tcp,downlink,1520
0.188945,media.adcanvas.com,tcp,downlink,1520
0.192463,media.adcanvas.com,tcp,downlink,1520
0.195982,media.adcanvas.com,tcp,downlink,1520
0.199500,media.adcanvas.com,tcp,downlink,1520
0.203019,media.adcanvas.com,tcp,downlink,1520
0.206537,media.adcanvas.com,tcp,downlink,1520
0.210055,media.adcanvas.com,tcp,downlink,1520
0.213574,media.adcanvas.com,tcp,downlink,1520
0.217092,media.adcanvas.com,tcp,downlink,1520
0.220611,media.adcanvas.com,tcp,downlink,1520
0.224129,media.adcanvas.com,tcp,downlink,1520
0.227648,media.adcanvas.com,tcp,downlink,1520
0.231166,media.adcanvas.com,tcp,downlink,1520
0.234684,media.adcanvas.com,tcp,downlink,1520
0.238203,media.adcanvas.com,tcp,downlink,1520
0.241721,media.adcanvas.com,tcp,downlink,1520
0.245240,media.adcanvas.com,tcp,downlink,1138
0.254739,media.adcanvas.com,tcp,uplink,131
0.260745,media.adcanvas.com,tcp,uplink,132
0.261020,media.adcanvas.com,tcp,uplink,142
0.262417,media.adcanvas.com,tcp,uplink,112
0.262757,media.adcanvas.com,tcp,uplink,127
