time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.055984,media.adcanvas.com,tcp,downlink,1520
0.057686,media.adcanvas.com,tcp,downlink,1520
0.059388,media.adcanvas.com,tcp,downlink,1520
0.061089,media.adcanvas.com,tcp,downlink,1520
0.062791,media.adcanvas.com,tcp,downlink,1520
0.064493,media.adcanvas.com,tcp,downlink,1520
0.066195,media.adcanvas.com,tcp,downlink,1520
0.067896,media.adcanvas.com,tcp,downlink,1520
0.069598,media.adcanvas.com,tcp,downlink,1520
0.071300,media.adcanvas.com,tcp,downlink,1520
0.073002,media.adcanvas.com,tcp,downlink,1520
0.074704,media.adcanvas.com,tcp,downlink,1520
0.076405,media.adcanvas.com,tcp,downlink,1520
0.078107,media.adcanvas.com,tcp,downlink,1520
0.079809,media.adcanvas.com,tcp,downlink,1520
0.081511,media.adcanvas.com,tcp,downlink,1520
0.083213,media.adcanvas.com,tcp,downlink,1520
0.084914,media.adcanvas.com,tcp,downlink,1520
0.086616,media.adcanvas.com,tcp,downlink,1520
0.088318,media.adcanvas.com,tcp,downlink,1520
0.090020,media.adcanvas.com,tcp,downlink,1520
0.091721,media.adcanvas.com,tcp,downlink,1520
0.093423,media.adcanvas.com,tcp,downlink,1520
0.095125,media.adcanvas.com,tcp,downlink,1520
0.096827,media.adcanvas.com,tcp,downlink,1520
0.098529,media.adcanvas.com,tcp,downlink,1520
0.100230,media.adcanvas.com,tcp,downlink,1520
0.101932,media.adcanvas.com,tcp,downlink,1520
0.103634,media.adcanvas.com,tcp,downlink,1520
0.105336,media.adcanvas.com,tcp,downlink,1520
0.107038,media.adcanvas.com,tcp,downlink,1520
0.108739,media.adcanvas.com,tcp,downlink,1520
0.110441,media.adcanvas.com,tcp,downlink,1520
0.112143,media.adcanvas.com,tcp,downlink,1520
0.113845,media.adcanvas.com,tcp,downlink,1520
0.115546,media.adcanvas.com,tcp,downlink,1520
0.117248,media.adcanvas.com,tcp,downlink,1520
0.118950,media.adcanvas.com,tcp,downlink,1520
0.120652,media.adcanvas.com,tcp,downlink,1520
0.122354,media.adcanvas.com,tcp,downlink,1520
0.124055,media.adcanvas.com,tcp,downlink,1520
0.125757,media.adcanvas.com,tcp,downlink,1062
0.132113,media.adcanvas.com,tcp,uplink,131
0.137953,media.adcanvas.com,tcp,uplink,132
0.138110,media.adcanvas.com,tcp,uplink,142
0.138172,media.adcanvas.com,tcp,uplink,142
0.139299,media.adcanvas.com,tcp,uplink,112
0.139732,media.adcanvas.com,tcp,uplink,127
0.166312,media.adcanvas.com,tcp,downlink,1520
0.170519,media.adcanvas.com,tcp,downlink,1520
0.174700,media.adcanvas.com,tcp,downlink,1520
0.178881,media.adcanvas.com,tcp,downlink,1520
0.180245,media.adcanvas.com,tcp,downlink,1520
